"label";"review"
"OR";"Yes, this is a new writing style for the talented MS EDWARDS.  She has shown more talent than when she wrote as MS NICOLE EDWARDS. And, I didn't know that there ever was that much talent had existed.  Being able to write books that are that good and being that different is phenomenal. We are talking"
"OR";"This is a great little tray for just about anything you'd want to use it for. I use mine in my medicine cabinet to organize my plethora of travel size soaps and sample products until I am ready to use them. I would also aggregator office supplies like post it's, binder clips and other similar items."
"OR";"This is a quick, heated historical read about a young woman being pressured to marry the right man and a man with no title and no fortune who also happens to love her. Its short, sweet and has sexy moments, but there really isn't much more to it than that. Both characters have appeared briefly in th"
"OR";"David S. Scott, where do I even begin to tell you how much I freaking adored this story!!!

Yes, the first ended in a cliffhanger, but you listened to your fan base when you asked how long to wait between releases. People who know me, will tell you how much I despise cliffhangers. So glad you decide"
"OR";"This book was in a word: adorable. Though perhaps not the most historically accurate portrayal of the medieval times, it was nonetheless a fun read and Im completely fine with that. (If anything, this was probably an idealistic version of history if women were actually given rights! :p) Rosemarie in"
"OR";"My daughter seems to not get the hang of it.  She almost looks too big for it (she's 2) or the product seems to not inflate all the way (but we've inflated it to the max, where it seems like it's about to burst).  She falls off easily and doesn't bounce well on it.  I thought it would be like the vi"
"OR";"Rebecca Royce adds her voice to this wonderful series with this book. I love returning to the world of the Black Hills Wolves. Each new story brings a new adventure.

 This book gives us the couple of Mags and Clay. When Mags returns to the pack to help her sister, Clay soon follows. She thought she"
"OR";"I'm a plus size woman (24/26 in pants, 3X in shirts), but only C cup breasts. It's hard to find lingerie that fits the way I want. I'm not one of those comfortable big girls that likes flaunting it or wearing lots of tight things so I definitely wanted something loose. I spent 4 hours browsing multi"
"OR";"I received a copy of this book in exchange for an honest review.  This is a short bear shifter book. Karina owns a dating agency and seeing so many people find love she decides she needs a vacation to find herself and maybe something more. Her first day she meets Reinicke. Hes grumpy and to the poin"
"OR";"I enjoyed this story. Hud and Mack are great! It is the third book in the series but can be read by itself (or first) without any problem whatsoever. It's a little sweeter than the other two. The sex is still explicit and fairly frequent but just the overall tone was sweeter for me, in a good way, t"
"OR";"Well, I've been using it for quite sometime now and I honestly don't like it very much.

The fact that I've actually bought two sets of these makes it even worse. I'll keep the review short and simple.

Pros:
1. Easy to install and use
2. Buttons light up, can turn the feature on or off

Cons:
1. Bu"
"OR";"I love this boxset... I loved these four books but i love the boxset better cause it has one price and all the books are all together in one set and you don't have to buy them all seperate"
"OR";"I was very pleased with the value of this trimmer.  It ran great right out of the box.  My only issue is that there isn't much line included, and it came loose one time and I had to stop to remove and reassemble the entire bobbin.  I found the forward loop handle to be a bit too small to easily bala"
"OR";"I didn't think it possible but I believe this book was better than the last one. It needs a better editor but the story is really good. It centers on the Weathers family and JD (Justice) in particular. He has 2 teenaged boys, twins, Briggs and Dawson. He's a widower and carries a lot of guilt and an"
"OR";"This is my first pair of Tom's but won't be the last.  They feel like I'm wearing no shoes at all.

My foot is pretty hard to fit because I wear a 7-1/2 AA.  It's just a hit and miss when I order a pair of shoes in a brand that I've never worn, but I read advice saying to size down on these shoes, s"
"OR";"I really enjoyed this book. It was a fun read that kept me interested. I couldn't help feeling for what Paige went through as a kid and how it shaped her life and her families. It truly shows how when one person in a family is ill, it affects everyone.

I'm glad that Paige grew up strong and was abl"
"OR";"I have reviewed it before but for some reason it didn't get posted.

At first, I have received a default product, I have contacted seller on the same day as I received the product, seller responded lately because of the time difference but and he is very kind and responsible.

Seller resent me a new"
"OR";"I have always liked Wacom products and that includes its Bamboo styluses. The one I have used before just had a pen clip which actually worked well for my iPad case. I have always liked the styluses that are able to plug into the headphone/speaker port because I don't use it often so I it makes sens"
"OR";"My best friend Kate, has taken anti-depressants for many years. She has seen doctor after doctor to try and find out why she needs this medication.
In reading this book I learned more about helping her than in many years past.
Since it was doctor diagnosed, it should be doctor fixed. Made sense to m"
"OR";"This story is a prequel to the Men of Lancaster County series. I loved this story; it's well written, the characters are complex, and it will touch your heart. I have never read any of Mindy's work before but I look forward to reading more of her books. The faith she puts in this story is heart chan"
"OR";"Combing the mythological stories of the Argonauts, with futuristic genetic manipulation, Kneupper has crafted an exciting sci-fi tale that reimagines an old story in a fantastic new way.
 Following the adventures of Jason, a super-soldier and product of the genetic code enhancements provided by Argo"
"OR";"This is a great accessory for those with a play kitchen and can be used as a stand alone with just a little imagination which kids tend to have a lot of. It comes with enough pieces that two children can have fun with without actually fighting over them, but you know kids, they still might. The piec"
"OR";"Bought this on Amazon back in December. I didn't like this light for about a month. It is somewhat bulky feeling because of the shape of the barrel. After I used it for a while it stopped bothering me.

If you run it constantly, yes it will kill the batteries. However I've found that to be true with"
"OR";"I loved Beg for Mercy and Hide from Evil. This book is a part of a series. I was really excited this book came out. As soon as I saw it I grabbed it. This is Talia story. She is getting her life back together after she was tortured. She was in awful 'relationship' which is mentioned in Beg for Mercy"
"OR";"I stayed up well past midnight reading this book.  It was so hard to put down.  It is entertaining & fast paced.  Very good read!  Also there is another book in the series and one in the works.  Both are great books!"
"OR";"I used to have one that i bought at the big orange boxed store down the street. It worked ok, sometimes too well. It would pull interference seemingly whenever it felt like it. Ripped it out and installed this one, in the master bedroom.

Everything about this is rocking. Quality, ease of installati"
"OR";"My daughter liked the included doll and pet (note its only 1 pet, not 3 like the Amazon description says). She didn't like the house itself much and i cant blame her. Its a cute little house but one that is badly made.

You pretty much need to assemble everything which is a pain. I'd say it would be"
"OR";"I purchased this product (DealYard) on 12/26/2013, and received it on 1/2/2014. Was packed well, and arrived in good condition. I used it for the first time on 1/7/2014 and it performed very well, I vacuumed a few bags and tried out the containers and they sealed very well. My next attempt to use wa"
"OR";"I am a big fan of John Grisham, not only of his legal thrillers but also of his more literary undertakings. ""Playing for Pizza"" was just a huge disappointment for me. It felt like a potboiler Grisham dashed off to justify the expense of an Italian vacation or to make use of some scrap notes he'd mad"
"OR";"This is a super cute 8GB Frog shaped USB flash Drive. Words cannot express how CUTE this thing is!!! It also comes with a little keychain type hook, so you can connect it to your keys or a lanyard. This is: Compatible with Windows 7, Windows XP, Windows Vista, Mac OS 10+ and Linux; Hi-Speed USB 2.0 "
"OR";"I enjoyed reading Tuesdays with Morrie.  The book is a sportswriter's account of how his old, favorite college professor deals with getting ALS, a fatally, progressive neurological disease.  It's a moving story, even though you can pretty much guess how it ends up.  It reads very quickly and is not "
"OR";"For YEARS I held onto my old kodak EasyShare, it was one of the first ever produced! I loved my old one, but wanted something a bit more updated to take on my vacation abroad this summer. This camera's features are terrific: the LCD screen is large and easy to see, the functions are very user-friend"
"OR";"Took my 10 year old daughter to see Frozen last night...
We were both very excited to see the movie based on the previews we had seen & our love for animated movies...

This movie will NOT disappoint you! It was an absolute GEM of a movie!!!
Although we saw it in 2d, it was visually STIMULATING, wit"
"OR";"I love PattyBoutik but I am on the fence on this one. I usually wear a S or M in most brands of shirts and for this shirt the small for this top fit perfect on me. I am 5'3"" at around 145lbs. I wanted something to cover my tummy area, but I'm torn because on one hand it fits great but on the other I"
"OR";"This movies is wonderful. After watching it I look it up and found out it is based off of a book. Now I have to read the book. It is very well made and the actors are fantastic. Make sure to have a bit of tissue next to you. I am recommending this to friends."
"OR";"*I was given a copy of this book as a gift from Stephanie's Book Reports in exchange for an honest review.

4 stars for Chicago-a shot to the heart changes everything by AJ Harmon.  If you are looking for a sweet, wholesome romance, this is the book for you!

When southern gentleman, Alex Beaumont, "
"OR";"3.5*
This started out as a slightly depressing story- Atwood's wife cheats on him, his in-laws (mother/father/brother) live with them and take complete advantage of him, his job's in jeopardy. The best thing his wife could have done for him was get him hooked up with the All American Studs crew, whe"
"OR";"When I was a child, I devoured Isaac Asimov's books -- especially his Robot and Foundation books, which he ended up combining near the end of his life. As I read WJ Davies' Binary Cycle: Disruption, I found myself going back to those days in junior high and high school, lying on my bed and dreaming "
"OR";"My 4 year old granddaughter is a huge fan of THIS particular pillow pet. She is over the moon for Skye. So when I first got it I took it out of the package and checked it all over for how well it was made and to my surprise it was made very well. The stitching is nice and tight. I pulled on differen"
"OR";"There will come a time when all of us are dead. All of us. There will come a time when there are no human beings remaining to remember that anyone ever existed or that our species ever did anything. There will be no one left to remember Aristotle or Cleopatra, let alone you. Everything that we did a"
"OR";"When I got the socks, I was pleasantly surprised to find that they came as a set of two pairs! This, combined with the price (I paid about $7), makes them a very good deal. The socks themselves feel pretty good. I haven't worn them out yet (giving them a try this weekend) so I've left it at 4 stars "
"OR";"To be honest when I ordered this I didn't have high hopes for it but I figured it was cheap enough and would be fine for listening to music while in the shower. I was immediately impressed with the appearance, it has some weight to it and is definitely bigger than I thought it would be. It comes wit"
"OR";"Ms. Toon is an amazing story teller.  Whenever I read her books I know I won't be bored.  In fact, I was reading another book but stopped to read this one when an email alerted me that it was now available for purchase.

She did not disappoint.  Don't let the fact that it is a YA book deter you.  It"
"OR";"I finished reading Everyday Zen today, and I will say that reading the book has been a very enjoyable experience.  Furthermore, I can already see some of the concepts and ideas presented in the book sinking in and making a difference in the way I approach my life.  The author makes it a point to rep"
"OR";"Boggle is a great word game that is fun for the whole family in which players have three minutes to find as many connected words as they can in a 4x4 grid.  It doesn't take long to play (only three minutes to be exact) and you don't need a lot of space to play it.  It uses a lot of the same skills a"
"OR";"I really looked forward to getting these having read the reviews but so far have found them awkward in the following ways:
1. The fenders tend to warp easily meaning that if they follow the cross-section curvature at the brake end, they will be way off center at the mud flap end.  You can do a limit"
"OR";"I can not imagine anyone not loving this book, because I did and brought the 3rd one immediately. I just love the way Ms. McDonald puts a story together. Can't wait to read book number 3."
"OR";"This is SOOOO cute  I know, it's a footie onesie, big deal.  The colors are so rich and vibrant, and they did not fade or bleed into other items in the wash.  This is 100% organic cotton, which means it is very gently on baby, and gentle on the environment as well.  The dyes are even natural!
The sn"
"OR";"This product is made of great quality.
The ice bowl is made of a heavy plastic and is great. The mold it was made from is of great quality, there wasn't any extra plastic around the bowl or any flaws that I could see. I was a little worried that it would leak but it does not and works very well to h"
"OR";"Okay first off this is not a LOSi product quality bash review because we all know LOSI makes quality cars. This is just my first impression of this particular car for anyone interested in getting one this size for the first time. When I first held the car in my hand I knew that this size scale was n"
"OR";"Received the item well packaged and very fast. Took about twenty minutes for assembly. All the necessary tools are provided. The assembly steps are more or less intuitive so hardly necessary to read the instructions. The construction is quite good. The machinery fit and finish are almost top notch, "
"OR";"JoJo Moyes really knows how to make me cry. Or maybe it is just Louisa Clark that makes me cry. I don't mean sobbing heartbreaking cry the way Me Before You did but I mean like just happy soul rending grief tinged cry.  I really enjoyed that the author took the time out to heal Louisa in the slow pa"
"OR";"This Webkinz was a great gift! The recipient loved it and I highly recommend it to anyone looking for a good gift! It arrived in great packaging and there seemed to be no damage. The quality was great and it should last for a long time!"
"OR";"It is a great book that never loses its power, the fact that it's in the 40th edition shows that this is one of the favorite books of all generations.
Here is a remark made by Ben Jackson, a professor of a professor at Stanford: Religious Studies at Stanford University put it:
""Is this a sad tale? W"
"OR";"Good concept, rainy day busy box/travel box, but my 9 year old got bored after about an hour and hasn't played with it since.
I was thrilled to see this item available because I loved the mystery activity books in my youth that would come with the special pen that uncovered the hidden messages.
My s"
"OR";"Back in 2011 I got a chance to read Because of You by Jessica Scott. This is where you first meet Shane Garrison and Jen St. James. I strongly suggest you read that story first, before jumping into this novella. However, it is just a suggestion. Here's why:

In Anything for You Shane and Jen have be"
"OR";"O.k so people your right this one doesn't measure up to other Disney animated classics like ""Beauty and the Beast"" or ""The Little Mermaid"", but then again maybe that is not such a bad thing.  Anyone remember the little disaster in-a-box from 1996 ""Humpback?"" No well then count yourself blessed and s"
"OR";"One word sums up the follow up to The School for Mysteries: A Cozy Paranormal Adventure (Nurse Phoebe Book 2) and that is ""disappointment"". The predecessor was such a fun and exciting read in which the middle aged protagonist goes on a very wild adventure full of page turning thrills such as a heart"
"OR";"With a female cast of Jessica Biel, Jennifer Garner, Anne Hathaway, Julia Roberts, Jessica Alba, and Taylor Swift -this is a guy's dream come true.  I'm sure the same goes for females with the male actors.  I can handle the occasional ""chick flick"", but this one just had a bad story with annoying ch"
"OR";"What an amazing way to end this series!

When we first where introduced to Asa, I was not impressed, he was the con man, a bad brother and up to no good. It was in Rome's book that he really started coming around and I really started to like him. I wanted him to turn things around, and he was trying"
"OR";"I love this DVD! Rodney Yee DVD's from Gaiam have become some of my favorite practices. You really need to know a bit about yoga (like the warrior series) before you do this practice. There are no detailed instructions, so I think it would be disappointing for a beginner.

I loved the flow of this p"
"OR";"This is my second read by K'wan and once again I was not disappointed! Kwan draws you in with his colorful characters and doesn't let you go until the last page. Street Dreams is about guy name Rio from the projects who starts off being just nickel and dime dealer from around the way, but when he's "
"OR";"One of the loveliest books I have read in a long time, very different from the usual books i tend to read. I really enjoyed the book and  I shall look for another one by the same writer."
"OR";"This thing is awesome! I would buy again if I could carry two. I keep finding out things about it. It feels good loaded and believe me I have had it loaded. I will be adding a hydration bladder later. I like the gun holder feature and the fact that you can easily remove the pack from the frame. The "
"OR";"These rain boots are comfortable and cute. I usually wear a 7.5 or 8 in a regular shoe; I bought these in an 8. With socks on, the foot fits well around the arch, ankle, & heel (my mother, who has very high arches, did not find the arch as comfortable). The toe is roomy, but I like that. The ankle f"
"OR";"Outstanding product -- I needed a place to feed my skinny cats at their leisure, feed my handicapped kitten, and keep my fat cat on a diet. This works GREAT -- skinny cats love to play all over and jump up to the top house to feed when they are hungry; fat cat has a food timer next to the whole setu"
"OR";"Fits great very comfortable and easy to use. So much better than the last one I had. I love it its easy to put on easy to adjust and works well even for me and I am a very large chested women."
"OR";"First thing I noticed is that the escutcheon *looks* nice with the nickel finish, but it is cheap plastic.  I have no doubt that after a few good cleanings, even the most modest of scrubbing pads would leave this looking awful.

Second thing is that it didn't even fit.  I'm replacing an original Moe"
"OR";"I read all the Dean Koontz books he puts out, He's a great story teller and always look for movies made from his books.  This is a good one.  Hoping for more of the series."
"OR";"Great Book love the way the author made me feel like I was there .You are going to have to go read the book and see what you think about the book.  Thank you for letting me read the book I Love it . Thank you  from Patricia"
"OR";"This was a well written story of pushing through and overcoming adversity tied with a romance bow. I really enjoyed the book and loved the characters so much. I can't wait to read the next book."
"OR";"Having lost 5 bikes in a year. Yes Im new to Long Beach and did not know this place was bike theft capital of the Unites States. I tell you something. I do write reviews for AMZ review Trader and I do get things either for free or at a huge discount on things I write about which id cool but doing so"
"OR";"Great sander. Like it much better than my old square one that the paper keeps jumping off. It is a little hard to hold - even with my larger hands. But it works great."
"OR";"Nicole Jackson, you did another excellent job with one your books!!! I couldn't put it down, good read folks!!! I'm not sure if their will be a book 2, the ending has you wondering!!! If it is, I will be reading it!! Loved this book"
"OR";"Ill admit some of the changes in the special edition weren't great namely greedo firing first and the new songs in return of the jedi.  but this dvd only serves to make the films look a little better and have better continuity.  Greedo fires first looks a lot better and the timing is more like they "
"OR";"I really love this series and all the books by this author. The rhyming is great and the illustrations are adorable! Kids will love these books and I hope there will be many more. I can't wait to read them to my nieces and nephews. Well done."
"OR";"For the untrained Clive Barker reader, Abarat will seem like a vivid dream, an elaborate creation, a thing of wonder and beauty to be praised and revered. To the serious Clive Barker reader, it amounts to the PG-13 version of Weaveworld and imajica combined. Clive has taken to the all-ages genre and"
"OR";"The Acer Aspire I bought has 2gb ram and overall is quite fast enough for my uses and with all my Microsoft Office products.  The wireless works very good and I love the unit. I am an usually an Apple guy and really wanted a Mac Air but being that I had to buy an out drive to load software and watch"
"OR";"The characters and the story line are well developed.  The story is easy to follow and I did not find any errors in the writing.  There are a few twist in this book.  I believe you will enjoy this book and I will be looking for other books from this author."
"OR";"If you are looking for a quick romantic fix this novella length book might be your answer.  Josh and Mindy are easy to like and they will have you rooting for them after just a few pages.  Mindy is going through a rough patch and what better than a handsome man from her past showing up stranded and "
"OR";"I WAS VERY DISAPPOINTED.  AT THE BEGINNING I THOUGHT THIS IS GOING TO BE A GREAT BOOK, IT WAS FUNNY AND I LOVE
A FUNNY HUMEROUS STORY.  AS I READ ON IT WAS TOTALY BLAND AND BORING.  I WILL NOT WASTE MY TIME READING ANY MORE  BOOKS TO THIS SERIES."
"OR";"Where's a Zero rating when you need one?
This is just ... a mess. Overrun with mean-spiritedness, the vileness of the anti-female ramblings is matched only by the sub-amateur production values.
The writing is awful. The camerawork is headache-inducing. The acting would look bad on the stage of the w"
"OR";"This series is amazing! Even if it only has a handful of episodes, it's so well-plotted and most of the characters are amazingly acted. Heather was underutilized, but I won't get into that for brevity and sanity's sake. I think the best part of the show is that it has a rich cast of characters that "
"OR";"One size fitting does not fit all!

This item is definitely not what the average-sized female would consider as a 1-size fit.  I am 5'7"", 36 DDD and have a long torso.  I started not to even bother trying it on because it looks tiny coming out of the package.  Once I had it on, I found that the elas"
"OR";"I was given a free copy of this book in exchange for an honest review.

I really wanted to like this book. I thought it was a great premise and that the author was very creative in her world building. This is a book about triplets who are separated from each other at birth. On their 15th birthday th"
"OR";"UPDATE#2 The tape that is used is not what I'm used to calling VHB. Dropped my hard hat last night and two holders popped off. Do not recommend.  UPDATE: After using these for a few nights, I discovered that two of them had moved on the hard hat. I don't know if it was the freezing temps outside, or"
"OR";"I loved this book. The last couple were kind of disappointing but this one was wow! Back to the kind of Mercy book we all know and love. Great story and I highly recommend it!"
"OR";"If I had read this book first, I don't know if I would continue with this series. However, since I am reading it out of order, I recommend this as a good read. The others get better."
"OR";"Leigh develops the world surrounding music well, allowing those without the background to understand whats going on, while also not bogging down those who are already in the know.  The entire world is built in such a manner that you can easily follow the multiple different aspects of this well writt"
"OR";"I finally picked up the black version off of Woot for a great price. The lack of a flipper had put me off for years because I have sliced my thumb using the thumbstuds on 2 other Ken Onion blades I own. I should have just trusted all the good reviews because this has to be the best knife on the mark"
"OR";"Too many small book for the price, Just combine into one. Enjoyed the book. Tired of buying so many pieces of the story. Can't give it a 5 Star for those reasons."
"OR";"I had gone through 2 ""cheapie"" scroll saws over the past several years. I do a fair amount of fret work and intarsia. I finally have a machine that holds the blade tightly and is easy to thread into pilot holes.the blower works great. Having the arm tilt is an invaluable feature for me. I am not cra"
"OR";"Loved this book. Jo is a college student trying to live her life.  However, she is hiding a very big secret. She is in hiding and has been for the last 3 years.  Kian was the rich boy who had everyone's attention.  He was the it boy and ran the with in crowd.  He took notice of Jo (Jordan) in high s"
"OR";"My three year old son and I love all of the Skippyjon Books~ The words are so fun to read out loud. Not monotonous like some children's books are. I love the Mommas nicknames for the kitten boy too !"
"OR";"Have had this camera since March, and I love it. I had a Digital Elph before this, so I was a little spoiled by how tiny they are and how easily they fit into a pocketbook, but this one can fit, too... just a little bulkier because of the ""hump"" for the batteries.

It takes clear pictures and video,"
"OR";"We bought this steam vac for my mother-in-law since my husband broke her other hoover steam vac. We're quite happy to hear that she liked this hoover steam vac because it is easier for her to use and it is lighter than the old one. So with this, I want to try the steam vac in my own house to see if "
"OR";"Really enjoyed this bundle.  What a value and such great entertainment. All the books in this bundle were really good reads and exciting.  Love the characters and the storylines were compelling...everything I look for in my favorite books!"
"OR";"I purchased this and the Forever Litter Tray at the same time, so I can't say much about the costliness of buying new trays every time. I use Just the Crystals instead of the name-brand stuff. With my one cat (female, average to small sized), I can easily go two weeks without touching the box and no"
